"","Province","Country","Lat","Long","1/22/20_c","1/22/20_d","1/22/20_r","1/23/20_c","1/23/20_d","1/23/20_r","1/24/20_c","1/24/20_d","1/24/20_r","1/25/20_c","1/25/20_d","1/25/20_r","1/26/20_c","1/26/20_d","1/26/20_r","1/27/20_c","1/27/20_d","1/27/20_r","1/28/20_c","1/28/20_d","1/28/20_r","1/29/20_c","1/29/20_d","1/29/20_r","1/30/20_c","1/30/20_d","1/30/20_r","1/31/20_c","1/31/20_d","1/31/20_r","2/1/20_c","2/1/20_d","2/1/20_r","2/2/20_c","2/2/20_d","2/2/20_r","2/3/20_c","2/3/20_d","2/3/20_r","2/4/20_c","2/4/20_d","2/4/20_r","2/5/20_c","2/5/20_d","2/5/20_r","2/6/20_c","2/6/20_d","2/6/20_r","2/7/20_c","2/7/20_d","2/7/20_r","2/8/20_c","2/8/20_d","2/8/20_r","2/9/20_c","2/9/20_d","2/9/20_r","2/10/20_c","2/10/20_d","2/10/20_r","2/11/20_c","2/11/20_d","2/11/20_r","2/12/20_c","2/12/20_d","2/12/20_r","2/13/20_c","2/13/20_d","2/13/20_r","2/14/20_c","2/14/20_d","2/14/20_r","2/15/20_c","2/15/20_d","2/15/20_r","2/16/20_c","2/16/20_d","2/16/20_r","2/17/20_c","2/17/20_d","2/17/20_r","2/18/20_c","2/18/20_d","2/18/20_r","2/19/20_c","2/19/20_d","2/19/20_r","2/20/20_c","2/20/20_d","2/20/20_r"
"38","Tempe, AZ","US",34.0489,-111.094,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"39","Macau","Macau",22.1987,113.5439,1,0,0,2,0,0,2,0,0,2,0,0,5,0,0,6,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,8,0,0,8,0,0,10,0,0,10,0,0,10,0,1,10,0,1,10,0,1,10,0,1,10,0,1,10,0,1,10,0,2,10,0,3,10,0,3,10,0,3,10,0,5,10,0,5,10,0,5,10,0,5,10,0,6
"40","Hong Kong","Hong Kong",22.3193,114.1694,0,0,0,2,0,0,2,0,0,5,0,0,8,0,0,8,0,0,8,0,0,10,0,0,10,0,0,12,0,0,13,0,0,15,0,0,15,0,0,17,1,0,21,1,0,24,1,0,25,1,0,26,1,0,29,1,0,38,1,0,49,1,0,50,1,1,53,1,1,56,1,1,56,1,1,57,1,2,60,1,2,62,1,2,63,2,5,68,2,6
"41","","Singapore",1.3521,103.8198,0,0,0,1,0,0,3,0,0,3,0,0,4,0,0,5,0,0,7,0,0,7,0,0,10,0,0,13,0,0,16,0,0,18,0,0,18,0,0,24,0,0,28,0,0,28,0,0,30,0,0,33,0,2,40,0,2,45,0,2,47,0,9,50,0,15,58,0,15,67,0,17,72,0,18,75,0,18,77,0,24,81,0,29,84,0,34,84,0,34
"42","","Vietnam",21.0278,105.8342,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,6,0,1,6,0,1,8,0,1,8,0,1,8,0,1,10,0,1,10,0,1,13,0,1,13,0,1,14,0,1,15,0,6,15,0,6,16,0,7,16,0,7,16,0,7,16,0,7,16,0,7,16,0,7,16,0,7,16,0,7
"43","","France",46.2276,2.2137,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,0,4,0,0,5,0,0,5,0,0,5,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,2,11,0,2,11,0,2,12,1,4,12,1,4,12,1,4,12,1,4,12,1,4,12,1,4
"44","","Nepal",28.3949,84.124,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"45","","Malaysia",4.2105,101.9758,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,4,0,0,7,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,10,0,0,12,0,0,12,0,0,12,0,1,16,0,1,16,0,1,18,0,1,18,0,3,18,0,3,19,0,3,19,0,3,22,0,7,22,0,7,22,0,7,22,0,13,22,0,15,22,0,15
"46","Toronto, ON","Canada",43.6532,-79.3832,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
"47","British Columbia","Canada",49.2827,-123.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0
